"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 15, 2019","6,948.31","6,950.21","6,994.70","6,945.64","554.90K","-0.07%"
"Apr 12, 2019","6,952.83","6,946.26","6,963.89","6,926.45","564.26K","0.57%"
"Apr 11, 2019","6,913.64","6,930.95","6,933.42","6,910.59","436.58K","-0.27%"
"Apr 10, 2019","6,932.11","6,929.78","6,942.09","6,892.40","405.70K","0.06%"
"Apr 08, 2019","6,928.03","6,950.04","6,959.60","6,892.12","390.52K","-0.57%"
"Apr 05, 2019","6,967.69","6,960.11","6,968.90","6,933.56","491.95K","0.39%"
"Apr 04, 2019","6,940.39","6,892.86","6,941.96","6,871.73","694.30K","0.77%"
"Apr 03, 2019","6,887.35","6,876.19","6,900.81","6,870.55","669.78K","0.20%"
"Apr 02, 2019","6,873.54","6,855.94","6,907.50","6,855.94","579.21K","0.17%"
"Apr 01, 2019","6,862.12","6,845.04","6,862.12","6,833.51","483.55K","0.01%"
"Mar 29, 2019","6,861.49","6,932.28","6,932.28","6,831.79","577.70K","-0.98%"
"Mar 28, 2019","6,929.18","6,978.84","6,994.01","6,881.90","531.06K","-0.67%"
"Mar 27, 2019","6,975.66","7,017.84","7,043.31","6,975.66","602.24K","-0.27%"
"Mar 26, 2019","6,994.69","6,948.53","7,028.72","6,948.53","852.53K","0.66%"
"Mar 25, 2019","6,949.17","6,878.47","6,979.33","6,878.47","819.72K","0.96%"
"Mar 22, 2019","6,883.03","6,838.04","6,895.41","6,838.04","454.42K","0.75%"
"Mar 21, 2019","6,831.79","6,813.47","6,861.67","6,799.80","468.97K","0.65%"
"Mar 19, 2019","6,787.52","6,839.59","6,842.55","6,766.20","389.72K","-0.63%"
"Mar 18, 2019","6,830.58","6,851.59","6,851.59","6,762.23","330.23K","-0.32%"
"Mar 15, 2019","6,852.42","6,898.37","6,947.40","6,827.92","499.55K","-0.78%"
"Mar 14, 2019","6,906.50","6,899.38","6,920.01","6,872.28","637.01K","0.18%"
"Mar 13, 2019","6,894.28","6,973.47","6,980.52","6,886.21","470.74K","-1.20%"
"Mar 12, 2019","6,978.27","7,028.79","7,028.79","6,972.58","607.45K","-0.87%"
"Mar 11, 2019","7,039.80","7,078.87","7,086.00","7,026.12","406.23K","-0.56%"
"Mar 08, 2019","7,079.39","7,111.99","7,116.30","7,069.34","828.33K","-0.52%"
"Mar 07, 2019","7,116.57","7,106.73","7,118.95","7,070.51","692.96K","0.25%"
"Mar 06, 2019","7,098.80","7,087.06","7,099.06","7,059.87","873.15K","0.17%"
"Mar 05, 2019","7,086.56","7,117.71","7,123.39","7,084.02","536.47K","-0.61%"
"Mar 04, 2019","7,130.18","7,141.50","7,167.16","7,130.18","721.88K","-0.20%"
"Mar 01, 2019","7,144.63","7,155.71","7,159.46","7,111.79","1.43M","0.44%"
"Feb 28, 2019","7,113.57","7,144.37","7,151.33","7,102.93","1.04M","-0.54%"
"Feb 27, 2019","7,152.52","7,176.93","7,177.85","7,111.25","1.22M","-0.15%"
"Feb 26, 2019","7,163.25","7,190.51","7,191.22","7,136.38","1.49M","-0.32%"
"Feb 25, 2019","7,186.30","7,217.99","7,225.47","7,166.57","1.18M","0.01%"
"Feb 22, 2019","7,185.67","7,191.85","7,202.07","7,159.99","750.88K","0.15%"
"Feb 21, 2019","7,175.23","7,156.16","7,193.50","7,156.16","682.75K","0.19%"
"Feb 20, 2019","7,161.69","7,135.25","7,162.99","7,117.00","917.02K","0.37%"
"Feb 19, 2019","7,135.54","7,118.86","7,144.74","7,107.50","564.27K","0.30%"
"Feb 18, 2019","7,114.51","7,094.88","7,120.32","7,086.30","511.24K","0.12%"
"Feb 15, 2019","7,106.05","7,082.69","7,107.26","7,078.06","542.61K","0.45%"
"Feb 14, 2019","7,074.50","7,068.70","7,099.09","7,068.70","626.84K","0.09%"
"Feb 13, 2019","7,068.31","7,087.50","7,094.05","7,056.00","600.31K","-0.42%"
