,TunisAir,court,ouverture,cloture,plus haut,smth 
2019-06-02,,,,,,
2019-06-03,,"20,350","20,150","20,350",,
2019-06-04,,,,,,
2019-06-05,,,,,,
2019-06-06,,,,,,
2019-06-07,,"0,750","0,750","0,750",,
2019-06-08,,,,,,
2019-06-09,,,,,,
2019-06-10,,"0,750","0,730","0,750",,
2019-06-11,,,,,,
2019-06-12,,"0,720","0,730","0,690",,
2019-06-13,,"0,690","0,700","0,700",,
2019-06-14,,"0,700","0,720","0,710",,
2019-06-15,,,,,,
2019-06-16,,,,,,
2019-06-17,,"0,730","0,700","0,730",,
2019-06-18,,"0,700","0,690","0,680",,
2019-06-19,,"0,680","0,690","0,700",,
2019-06-20,,"0,700","0,700","0,700",,
2019-06-21,,"0,680","0,700","0,700",,
2019-06-22,,,,,,
2019-06-23,,,,,,
2019-06-24,,"0,700","0,700","0,700",,
2019-06-25,,"0,700","0,710","0,710",,
2019-06-26,,"0,710","0,700","0,700",,
2019-06-27,,"0,700","0,700","0,690",,
2019-06-28,,"0,690","0,700","0,700",,
2019-06-29,,,,,,
2019-06-30,,,,,,
2019-07-01,,"0,700","0,700","0,680",,
2019-07-02,,"19,600","19,300","19,600",,
2019-07-03,,"0,670","0,660","0,680",,
2019-07-04,,"0,660","0,660","0,670",,
2019-07-05,,"0,670","0,680","0,690",,
2019-07-06,,,,,,
2019-07-07,,,,,,
2019-07-08,,"0,690","0,690","0,670",,
2019-07-09,,"0,670","0,690","0,690",,
2019-07-10,,"0,690","0,680","0,670",,
2019-07-11,,"0,670","0,670","0,680",,
2019-07-12,,"0,680","0,660","0,670",,
2019-07-13,,,,,,
2019-07-14,,,,,,
2019-07-15,,"0,670","0,680","0,680",,
2019-07-16,,"0,680","0,680","0,680",,
2019-07-17,,"0,670","0,690","0,690",,
2019-07-18,,"0,690","0,680","0,690",,
2019-07-19,,"0,690","0,680","0,680",,
2019-07-20,,,,,,
2019-07-21,,,,,,
2019-07-22,,"0,680","0,670","0,680",,
2019-07-23,,"0,660","0,670","0,670",,
2019-07-24,,,,,,
2019-07-25,,,,,,
2019-07-26,,"0,670","0,670","0,670",,
2019-07-27,,,,,,
2019-07-28,,,,,,
2019-07-29,,,,,,
2019-07-30,,"0,660","0,650","0,670",,
2019-07-31,,"0,650","0,660","0,660",,
2019-08-01,,"0,660","0,660","0,650",,
2019-08-02,,"0,650","0,650","0,670",,
2019-08-03,,,,,,
2019-08-04,,,,,,
2019-08-05,,"0,670","0,670","0,660",,
2019-08-06,,"0,660","0,670","0,670",,
2019-08-07,,"0,670","0,650","0,660",,
2019-08-08,,"0,660","0,670","0,670",,
2019-08-09,,"0,670","0,660","0,660",,
2019-08-10,,,,,,
2019-08-11,,,,,,
2019-08-12,,,,,,
2019-08-13,,,,,,
2019-08-14,,"0,660","0,660","0,660",,
2019-08-15,,"0,660","0,660","0,660",,
2019-08-16,,"0,660","0,660","0,650",,
2019-08-17,,,,,,
2019-08-18,,,,,,
2019-08-19,,"0,650","0,640","0,640",,
2019-08-20,,"0,640","0,640","0,650",,
2019-08-21,,"0,650","0,640","0,640",,
2019-08-22,,"0,640","0,630","0,640",,
2019-08-23,,"8,400","8,210","8,300",,
2019-08-24,,,,,,
2019-08-25,,,,,,
2019-08-26,,"0,650","0,650","0,650",,
2019-08-27,,"0,650","0,640","0,650",,
2019-08-28,,"0,650","0,650","0,650",,
2019-08-29,,"0,650","0,640","0,640",,
2019-08-30,,"0,640","0,650","0,630",,
2019-08-31,,,,,,
2019-09-01,,,,,,
2019-09-02,,"0,630","0,630","0,630",,
2019-09-03,,"0,630","0,630","0,630",,
2019-09-04,,"0,630","0,620","0,630",,
2019-09-05,,"0,630","0,630","0,630",,
2019-09-06,,"0,630","0,630","0,630",,
2019-09-07,,,,,,
2019-09-08,,,,,,
2019-09-09,,,,,,
2019-09-10,,,,,,
2019-09-11,,"0,620","0,620","0,630",,
2019-09-12,,"0,630","0,630","0,620",,
2019-09-13,,"19,310","19,300","19,310",,
2019-09-14,,,,,,
2019-09-15,,,,,,
2019-09-16,,"0,620","0,620","0,630",,
2019-09-17,,"0,630","0,640","0,650",,
2019-09-18,,"0,650","0,650","0,640",,
2019-09-19,,"0,640","0,640","0,640",,
2019-09-20,,"0,640","0,640","0,640",,
2019-09-21,,,,,,
2019-09-22,,,,,,
2019-09-23,,"0,640","0,630","0,660",,
2019-09-24,,"0,620","0,630","0,630",,
2019-09-25,,"0,630","0,630","0,620",,
2019-09-26,,"0,610","0,630","0,630",,
2019-09-27,,"0,630","0,620","0,630",,
2019-09-28,,,,,,
2019-09-29,,,,,,
