,SOTRAPIL,ref,ouverture,cloture
2018-12-07,,"16,500","16,010","16,440"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"16,440","16,400","16,400"
2018-12-11,,"16,400","15,910","16,300"
2018-12-12,,"16,300","15,910","15,900"
2018-12-13,,"15,900","16,000","16,000"
2018-12-14,,"16,000","16,000","16,290"
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"16,290","16,300","16,200"
2018-12-18,,,,
2018-12-19,,"16,000","16,300","15,950"
2018-12-20,,"15,950","16,010","16,000"
2018-12-21,,"16,000","16,000","16,290"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"16,290","16,290","16,290"
2018-12-25,,"16,290","16,000","16,300"
2018-12-26,,"16,300","16,300","16,780"
2018-12-27,,"16,780","16,770","16,770"
2018-12-28,,"16,770","16,780","16,500"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"16,500","16,400","16,500"
2019-01-01,,,,
2019-01-02,,"16,500","16,550","16,800"
2019-01-03,,"16,800","16,800","16,700"
2019-01-04,,"16,700","16,990","16,620"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"16,620","16,620","16,900"
2019-01-08,,"16,900","16,990","16,990"
2019-01-09,,,,
2019-01-10,,"16,600","17,000","17,000"
2019-01-11,,"17,000","16,970","16,640"
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"16,640","16,700","16,700"
2019-01-16,,"16,700","16,710","16,900"
2019-01-17,,"16,900","16,510","16,500"
2019-01-18,,"16,500","16,950","16,800"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"16,800","17,000","16,800"
2019-01-22,,"16,800","16,800","16,800"
2019-01-23,,"16,800","16,600","17,000"
2019-01-24,,"17,000","16,950","16,600"
2019-01-25,,"16,600","16,950","16,950"
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"16,950","16,950","16,950"
2019-01-29,,"16,950","16,460","16,950"
2019-01-30,,"16,950","16,950","16,900"
2019-01-31,,"16,900",,
2019-02-01,,"16,900","16,890","16,890"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"16,890","16,750","16,400"
2019-02-05,,"16,400","16,400","16,840"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"16,700","16,790","16,650"
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"16,300","16,600","16,600"
2019-02-14,,"16,600","16,300","16,300"
2019-02-15,,"16,300","16,600","16,590"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"16,590","16,500","16,500"
2019-02-19,,"16,500","16,100","16,100"
2019-02-20,,"16,100","16,100","16,380"
2019-02-21,,"16,380","16,100","16,100"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"16,100","16,100","16,000"
2019-02-26,,"16,000","16,000","16,480"
2019-02-27,,"16,480","16,000","16,000"
2019-02-28,,"16,000","16,000","15,750"
2019-03-01,,"15,750","16,220","16,220"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"16,220","16,240","16,240"
2019-03-05,,"16,240","15,760","16,200"
2019-03-06,,"16,200","16,200","16,200"
2019-03-07,,"16,200","16,000","16,000"
2019-03-08,,"16,000","15,750","15,750"
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"15,750","16,000","15,750"
2019-03-12,,"15,750","15,750","15,750"
2019-03-13,,"15,750","15,990","15,990"
2019-03-14,,"15,990",,
2019-03-15,,"15,990","16,000","16,000"
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"16,000","16,200","16,200"
2019-03-19,,"16,200",,
2019-03-20,,,,
2019-03-21,,"16,200",,
2019-03-22,,"16,200","16,150","16,200"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"16,200","16,200","16,230"
2019-03-26,,"16,230","16,230","16,240"
2019-03-27,,"16,240","16,240","16,240"
2019-03-28,,,,
2019-03-29,,"16,450","16,500","16,500"
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"16,500","16,900","16,900"
2019-04-02,,"16,900","16,900","16,900"
2019-04-03,,"16,900",,
2019-04-04,,"16,900","16,600","16,800"
2019-04-05,,"16,800","16,890","16,890"
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"16,890","16,500","16,500"
2019-04-09,,,,
2019-04-10,,"16,500",,
2019-04-11,,"16,500","16,900","16,900"
2019-04-12,,"16,900","16,400","16,850"
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"16,850","16,800","16,800"
2019-04-16,,"16,800","16,300","16,780"
2019-04-17,,"16,780","16,760","16,760"
2019-04-18,,"16,760","16,260","16,650"
2019-04-19,,"16,650","16,260","15,900"
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"15,900","16,360","16,300"
2019-04-23,,"16,300","16,200","15,820"
2019-04-24,,"15,820","15,850","15,850"
2019-04-25,,"15,850","15,380","15,850"
2019-04-26,,"15,850","15,850","15,840"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"15,840","15,550","15,380"
2019-04-30,,"15,380","15,380","15,590"
2019-05-01,,,,
2019-05-02,,"15,590","15,550","15,500"
2019-05-03,,"15,500","15,150","15,100"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"15,100","15,540","15,470"
2019-05-07,,"15,470","15,010","15,450"
2019-05-08,,"15,450","15,000","14,990"
2019-05-09,,"14,990","14,600","14,670"
2019-05-10,,"14,670","14,230","14,650"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"14,650","14,650","14,640"
2019-05-14,,"14,640","14,250","14,210"
2019-05-15,,"14,210","14,620","14,500"
2019-05-16,,"14,500","14,150","14,470"
2019-05-17,,"14,470","14,200","14,600"
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"14,600","14,170","14,650"
2019-05-21,,"14,650","14,850","14,850"
2019-05-22,,"14,850","14,850","14,400"
2019-05-23,,"14,400","14,400","14,400"
2019-05-24,,"14,400","14,400","14,400"
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"14,400","14,600","15,030"
2019-05-28,,"15,030","15,480","15,480"
2019-05-29,,"15,480","15,590","15,590"
2019-05-30,,"15,590","15,130","15,450"
2019-05-31,,"15,450","15,490","15,490"
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"15,490","15,700","15,700"
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"15,700",,
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"15,700",,
2019-06-11,,,,
2019-06-12,,"15,500","15,600","15,600"
