,BNA,ref,ouverture,cloture
2019-04-23,,"11,970","11,970","11,970"
2019-04-24,,"11,970","11,900","11,900"
2019-04-25,,"11,900","11,980","11,890"
2019-04-26,,"11,890","11,890","11,870"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"11,870","11,870","11,870"
2019-04-30,,"11,870","11,890","11,900"
2019-05-01,,,,
2019-05-02,,"11,900","11,900","11,940"
2019-05-03,,"11,940","11,640","11,930"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"11,930","11,990","11,750"
2019-05-07,,"11,750","11,750","11,800"
2019-05-08,,"11,800","11,800","11,800"
2019-05-09,,"11,800","11,800","11,900"
2019-05-10,,"11,900","11,970","11,900"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"11,900","11,860","11,860"
2019-05-14,,"11,860","11,860","11,860"
2019-05-15,,"11,860","11,860","11,840"
2019-05-16,,"11,840",,
2019-05-17,,"11,840","11,950","11,950"
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"11,950","11,930","11,930"
2019-05-21,,"11,930","11,810","12,000"
2019-05-22,,"12,000","11,830","12,000"
2019-05-23,,"12,000","11,890","12,000"
2019-05-24,,"12,000","11,840","12,000"
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"12,000","12,030","12,000"
2019-05-28,,"12,000","11,930","12,000"
2019-05-29,,"12,000","11,950","12,000"
2019-05-30,,"12,000","12,020","12,020"
2019-05-31,,"12,020","12,030","12,000"
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"12,000","12,100","12,190"
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"12,190","12,200","12,500"
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"12,500","12,200","12,390"
2019-06-11,,,,
2019-06-12,,"12,380","12,130","12,280"
2019-06-13,,"12,280","12,010","12,290"
2019-06-14,,"12,290","12,280","12,000"
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"12,000","12,190","12,100"
2019-06-18,,"12,100","12,000","12,100"
2019-06-19,,"12,100","12,100","12,100"
2019-06-20,,"12,100","12,100","12,090"
2019-06-21,,"12,090","12,000","12,360"
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"12,360","12,510","13,110"
2019-06-25,,"13,110","13,500","13,750"
2019-06-26,,"13,750","13,790","13,680"
2019-06-27,,"13,680","13,500","13,400"
2019-06-28,,"13,400","13,690","13,600"
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"13,600","13,400","13,650"
2019-07-02,,"13,650","13,400","13,250"
2019-07-03,,"13,250","13,450","13,250"
2019-07-04,,"13,250","13,100","13,000"
2019-07-05,,"13,000","13,000","13,300"
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"13,300","13,300","13,250"
2019-07-09,,"13,250","13,250","13,320"
2019-07-10,,"13,320","13,200","13,300"
2019-07-11,,"13,300","13,030","13,240"
2019-07-12,,"13,240","13,030","13,190"
