,BT,ref,ouverture,cloture
2019-05-09,,"7,600","7,600","7,620"
2019-05-10,,"7,620","7,620","7,610"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"7,610","7,600","7,600"
2019-05-14,,"7,600","7,600","7,550"
2019-05-15,,"7,550","7,550","7,550"
2019-05-16,,"7,550","7,550","7,550"
2019-05-17,,"7,550","7,550","7,540"
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"7,540","7,540","7,500"
2019-05-21,,"7,500","7,500","7,500"
2019-05-22,,"7,500","7,510","7,500"
2019-05-23,,"7,500","7,500","7,500"
2019-05-24,,"7,500","7,500","7,500"
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"7,500","7,500","7,500"
2019-05-28,,"7,500","7,500","7,500"
2019-05-29,,"7,500","7,500","7,500"
2019-05-30,,"7,500","7,500","7,500"
2019-05-31,,"7,500","7,500","7,500"
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"7,500","7,450","7,500"
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"7,500","7,400","7,480"
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"7,480","7,480","7,480"
2019-06-11,,,,
2019-06-12,,"7,370","7,350","7,400"
2019-06-13,,"7,400","7,400","7,440"
2019-06-14,,"7,440","7,400","7,440"
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"7,440","7,400","7,400"
2019-06-18,,"7,400","7,400","7,400"
2019-06-19,,"7,400","7,400","7,400"
2019-06-20,,"7,400","7,400","7,400"
2019-06-21,,"7,400","7,400","7,400"
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"7,400","7,400","7,400"
2019-06-25,,"7,400","7,400","7,400"
2019-06-26,,"7,400","7,400","7,400"
2019-06-27,,"7,400","7,400","7,400"
2019-06-28,,"7,400","7,400","7,400"
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"7,400","7,400","7,400"
2019-07-02,,"7,400","7,400","7,400"
2019-07-03,,"7,400","7,400","7,360"
2019-07-04,,"7,360","7,360","7,360"
2019-07-05,,"7,360","7,360","7,360"
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"7,360","7,370","7,360"
2019-07-09,,"7,360","7,360","7,370"
2019-07-10,,"7,370","7,370","7,370"
2019-07-11,,"7,370","7,370","7,370"
2019-07-12,,"7,370","7,360","7,370"
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"7,370","7,370","7,420"
2019-07-16,,"7,420","7,420","7,400"
2019-07-17,,"7,400","7,400","7,450"
2019-07-18,,"7,450","7,440","7,480"
2019-07-19,,"7,480","7,480","7,430"
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"7,430","7,430","7,420"
2019-07-23,,"7,420","7,420","7,440"
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"7,400","7,400","7,400"
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,"7,400","7,410","7,400"
2019-07-31,,"7,400","7,400","7,400"
2019-08-01,,"7,400","7,370","7,400"
2019-08-02,,"7,400","7,310","7,310"
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,"7,310","7,310","7,310"
2019-08-06,,"7,310","7,310","7,310"
2019-08-07,,"7,310","7,310","7,310"
2019-08-08,,"7,310","7,320","7,310"
2019-08-09,,"7,310","7,390","7,310"
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"7,310","7,320","7,310"
2019-08-15,,"7,310","7,310","7,320"
2019-08-16,,"7,320","7,350","7,330"
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"7,330","7,320","7,320"
2019-08-20,,"7,320","7,340","7,340"
2019-08-21,,"7,340","7,340","7,350"
2019-08-22,,"7,350","7,350","7,360"
2019-08-23,,"7,360","7,390","7,390"
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"7,390","7,400","7,390"
2019-08-27,,"7,390","7,390","7,430"
2019-08-28,,"7,430","7,430","7,600"
2019-08-29,,"7,600","7,600","7,820"
2019-08-30,,"7,820","7,980","8,000"
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"8,000","8,000","7,830"
2019-09-03,,"7,830","7,800","7,790"
2019-09-04,,"7,790","7,790","7,780"
2019-09-05,,"7,780","7,700","7,700"
2019-09-06,,"7,700","7,600","7,500"
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,"7,400","7,400","7,360"
2019-09-12,,"7,360","7,360","7,360"
2019-09-13,,"7,360","7,360","7,360"
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"7,360","7,390","7,360"
2019-09-17,,"7,360","7,360","7,360"
