,ELECTROSTAR,ref,ouverture,cloture
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"1,340","1,300","1,300"
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,"1,360","1,340","1,320"
2020-03-06,,"1,320","1,320","1,330"
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,"1,330","1,340","1,340"
2020-03-10,,"1,340","1,280","1,300"
2020-03-11,,"1,300","1,300","1,330"
2020-03-12,,"1,330",,
2020-03-13,,"1,280","1,230","1,210"
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,"1,210",,
2020-03-17,,"1,160",,
2020-03-18,,"1,130","1,100","1,100"
2020-03-19,,"1,100","1,070","1,070"
2020-03-20,,,,
2020-03-21,,,,
