,ATB,ref,ouverture,cloture
2018-10-01,,"4,080","4,150","4,150"
2018-10-02,,"4,150","4,150","4,100"
2018-10-03,,"4,100","4,100","4,100"
2018-10-04,,"4,100","4,100","4,100"
2018-10-05,,"4,100","4,100","4,090"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"4,090","4,090","4,100"
2018-10-09,,"4,100","4,100","4,100"
2018-10-10,,"4,100","4,100","4,100"
2018-10-11,,,,
2018-10-12,,"4,090","4,090","4,080"
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"4,080","4,080","4,050"
2018-10-17,,"4,050","4,050","3,990"
2018-10-18,,"3,990","3,960","3,950"
2018-10-19,,"3,950","3,950","3,930"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"3,930","3,910","3,900"
2018-10-23,,"3,900","3,880","3,880"
2018-10-24,,"3,880","3,880","3,880"
2018-10-25,,"3,880","3,850","3,850"
2018-10-26,,"3,850","3,840","3,840"
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"3,840","3,810","3,730"
2018-10-30,,"3,730","3,730","3,680"
2018-10-31,,"3,680","3,700","3,700"
2018-11-01,,"3,700","3,700","3,690"
2018-11-02,,"3,690","3,700","3,700"
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"3,700","3,700","3,700"
2018-11-06,,"3,700","3,700","3,680"
2018-11-07,,"3,680","3,670","3,680"
2018-11-08,,"3,680","3,680","3,680"
2018-11-09,,"3,680","3,680","3,690"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"3,690","3,670","3,670"
2018-11-13,,"3,670","3,680","3,670"
2018-11-14,,"3,670","3,660","3,680"
2018-11-15,,"3,680","3,680","3,700"
2018-11-16,,"3,700","3,690","3,680"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"3,680","3,630","3,700"
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"3,700","3,700","3,700"
2018-11-23,,"3,700","3,700","3,680"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"3,680","3,680","3,670"
2018-11-27,,"3,670","3,650","3,650"
2018-11-28,,"3,650","3,650","3,650"
2018-11-29,,"3,650","3,650","3,650"
2018-11-30,,"3,650","3,640","3,690"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"3,690","3,700","3,700"
2018-12-04,,"3,700","3,700","3,680"
2018-12-05,,"3,680","3,680","3,660"
2018-12-06,,"3,660","3,680","3,670"
2018-12-07,,"3,670","3,670","3,660"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"3,660","3,670","3,670"
2018-12-11,,"3,670","3,670","3,660"
2018-12-12,,"3,660","3,660","3,660"
2018-12-13,,"3,660","3,680","3,670"
2018-12-14,,"3,670","3,680","3,680"
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"3,680","3,680","3,660"
2018-12-18,,,,
2018-12-19,,"3,660","3,680","3,680"
2018-12-20,,"3,680","3,700","3,660"
2018-12-21,,"3,660","3,660","3,660"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"3,660","3,650","3,650"
2018-12-25,,"3,650","3,650","3,650"
2018-12-26,,"3,650","3,650","3,650"
2018-12-27,,"3,650","3,620","3,620"
2018-12-28,,"3,620","3,660","3,660"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"3,660","3,650","3,660"
2019-01-01,,,,
2019-01-02,,"3,660","3,760","3,650"
2019-01-03,,"3,650","3,650","3,640"
2019-01-04,,"3,640","3,660","3,700"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"3,700","3,700","3,650"
2019-01-08,,"3,650","3,610","3,620"
2019-01-09,,,,
2019-01-10,,"3,640","3,650","3,640"
2019-01-11,,"3,640","3,640","3,640"
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"3,640","3,650","3,640"
2019-01-16,,"3,640","3,650","3,640"
2019-01-17,,"3,640","3,640","3,640"
2019-01-18,,"3,640","3,640","3,630"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"3,630","3,630","3,650"
2019-01-22,,"3,650","3,650","3,640"
2019-01-23,,"3,640","3,640","3,640"
