,tijari,ref,ouverture,cloture
2018-12-11,,"40,550","41,100","42,330"
2018-12-12,,"42,330","41,070","42,000"
2018-12-13,,"42,000","41,950","42,000"
2018-12-14,,"42,000","42,100","41,500"
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"41,500","41,500","41,960"
2018-12-18,,,,
2018-12-19,,"41,940","41,020","41,200"
2018-12-20,,"41,200","41,200","41,950"
2018-12-21,,"41,950","42,000","41,900"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"41,900","41,850","41,800"
2018-12-25,,"41,800","41,790","41,100"
2018-12-26,,"41,100","40,940","40,800"
2018-12-27,,"40,800","40,800","41,900"
2018-12-28,,"41,900","42,000","42,280"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"42,280","42,240","41,000"
2019-01-01,,,,
2019-01-02,,"41,000","41,900","41,000"
2019-01-03,,"41,000","41,200","41,500"
2019-01-04,,"41,500","41,500","41,200"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"41,200","41,200","41,000"
2019-01-08,,"41,000","41,000","41,400"
2019-01-09,,,,
2019-01-10,,"41,000","41,400","41,000"
2019-01-11,,"41,000","41,000","42,000"
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"42,000","41,000","42,230"
2019-01-16,,"42,230","42,200","43,400"
2019-01-17,,"43,400","43,400","43,300"
2019-01-18,,"43,300","43,250","43,100"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"43,100","43,090","42,980"
2019-01-22,,"42,980","42,970","43,300"
2019-01-23,,"43,300","43,300","43,200"
2019-01-24,,"43,200","43,300","42,900"
2019-01-25,,"42,900","42,900","42,500"
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"42,500","42,640","42,100"
2019-01-29,,"42,100","41,600","42,300"
2019-01-30,,"42,300","42,300","42,300"
2019-01-31,,"42,300","42,200","42,300"
2019-02-01,,"42,300","42,190","42,190"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"42,190","41,300","42,000"
2019-02-05,,"42,000","42,000","41,970"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"41,850","41,250","41,780"
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"40,750","39,650","40,000"
2019-02-14,,"40,000","40,700","40,000"
2019-02-15,,"40,000","40,000","40,700"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"40,700","40,000","40,690"
2019-02-19,,"40,690","40,000","40,700"
2019-02-20,,"40,700","40,500","40,000"
2019-02-21,,"40,000","39,500","39,980"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"39,000","38,900","39,300"
2019-02-26,,"39,300","39,300","39,000"
2019-02-27,,"39,000","39,000","38,500"
2019-02-28,,"38,500","37,800","38,190"
2019-03-01,,"38,190","38,180","39,300"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"39,300","38,300","39,300"
2019-03-05,,"39,300","39,000","39,000"
2019-03-06,,"39,000","38,500","38,400"
