,ARTES,ref,ouverture,cloture
2018-12-11,,"6,200","6,200","6,200"
2018-12-12,,"6,200","6,200","6,200"
2018-12-13,,"6,200","6,200","6,200"
2018-12-14,,"6,200",,
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"6,200","6,160","6,150"
2018-12-18,,,,
2018-12-19,,"6,160","6,160","6,200"
2018-12-20,,"6,200","6,200","6,150"
2018-12-21,,"6,150","6,180","6,200"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"6,200","6,200","6,110"
2018-12-25,,"6,110",,
2018-12-26,,"6,110","6,130","6,120"
2018-12-27,,"6,120","6,240","6,130"
2018-12-28,,"6,130","6,140","6,230"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"6,230","6,240","6,270"
2019-01-01,,,,
2019-01-02,,"6,270","6,270","6,280"
2019-01-03,,"6,280","6,290","6,300"
2019-01-04,,"6,300","6,340","6,310"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"6,310","6,340","6,340"
2019-01-08,,"6,340","6,300","6,340"
2019-01-09,,,,
2019-01-10,,"6,340","6,340","6,300"
2019-01-11,,"6,300","6,220","6,300"
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"6,300","6,200","6,200"
2019-01-16,,"6,200","6,200","6,300"
2019-01-17,,"6,300",,
2019-01-18,,"6,300","6,280","6,270"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"6,270","6,200","6,280"
2019-01-22,,"6,280","6,270","6,270"
2019-01-23,,"6,270","6,220","6,220"
2019-01-24,,"6,220","6,190","6,270"
2019-01-25,,"6,270","6,200","6,270"
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"6,270","6,270","6,270"
2019-01-29,,"6,270","6,270","6,270"
2019-01-30,,"6,270","6,250","6,210"
2019-01-31,,"6,210","6,180","6,250"
2019-02-01,,"6,250","6,190","6,180"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"6,180","6,180","6,250"
2019-02-05,,"6,250","6,200","6,270"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"6,270","6,260","6,260"
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"6,240",,
2019-02-14,,"6,240","6,130","6,130"
2019-02-15,,"6,130","6,140","6,200"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"6,200","6,190","6,200"
2019-02-19,,"6,200","6,180","6,200"
2019-02-20,,"6,200","6,180","6,200"
2019-02-21,,"6,200","6,170","6,200"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"6,200","6,200","6,200"
2019-02-26,,"6,200","6,200","6,120"
2019-02-27,,"6,120","6,120","6,190"
2019-02-28,,"6,190","6,130","6,200"
2019-03-01,,"6,200",,
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"6,200","6,200","6,200"
2019-03-05,,"6,200","6,200","6,200"
2019-03-06,,"6,200",,
2019-03-07,,"6,200","6,230","6,230"
2019-03-08,,"6,230","6,150","6,200"
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"6,200","6,200","6,200"
2019-03-12,,"6,200","6,210","6,200"
2019-03-13,,"6,200","6,130","6,200"
2019-03-14,,"6,200","6,150","6,220"
2019-03-15,,"6,220","6,220","6,220"
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"6,220","6,130","6,150"
2019-03-19,,"6,150","6,150","6,150"
2019-03-20,,,,
2019-03-21,,"6,150","6,130","6,110"
2019-03-22,,"6,110","6,110","6,110"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"6,110","6,120","6,150"
2019-03-26,,"6,150","6,160","6,120"
2019-03-27,,"6,120","6,120","6,150"
2019-03-28,,,,
2019-03-29,,"6,190","6,150","6,150"
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"6,150","6,120","6,150"
2019-04-02,,"6,150","6,150","6,150"
2019-04-03,,"6,150","6,150","6,130"
2019-04-04,,"6,130","6,130","6,130"
2019-04-05,,"6,130","6,190","6,190"
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"6,190","6,130","6,130"
2019-04-09,,,,
2019-04-10,,"6,130","6,150","6,150"
2019-04-11,,"6,150","6,120","6,150"
2019-04-12,,"6,150","6,150","6,150"
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"6,150","6,150","6,120"
2019-04-16,,"6,120","6,120","6,150"
2019-04-17,,"6,150","6,140","6,200"
2019-04-18,,"6,200","6,200","6,150"
2019-04-19,,"6,150","6,110","6,100"
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"6,100","6,100","6,150"
2019-04-23,,"6,150","6,130","6,130"
2019-04-24,,"6,130","6,130","6,120"
2019-04-25,,"6,120",,
2019-04-26,,"6,120","6,120","6,120"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"6,120","6,120","6,000"
2019-04-30,,"6,000","6,000","5,960"
2019-05-01,,,,
2019-05-02,,"5,960","6,000","6,000"
2019-05-03,,"6,000","6,000","6,000"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"6,000","6,000","6,000"
2019-05-07,,"6,000","5,950","5,950"
2019-05-08,,"5,950","5,950","5,950"
2019-05-09,,"5,950","5,860","5,860"
2019-05-10,,"5,860","5,860","5,890"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"5,890","5,950","5,860"
2019-05-14,,"5,860","5,860","5,860"
2019-05-15,,"5,860","5,860","5,950"
2019-05-16,,"5,950",,
2019-05-17,,"5,950","5,950","5,900"
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"5,900","5,900","5,790"
2019-05-21,,"5,790","5,790","5,790"
2019-05-22,,"5,790","5,800","5,800"
2019-05-23,,"5,800","5,800","5,800"
2019-05-24,,"5,800","5,790","5,750"
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"5,750","5,760","5,760"
2019-05-28,,"5,760","5,800","5,850"
2019-05-29,,"5,850","5,850","5,870"
2019-05-30,,"5,870","5,900","5,900"
2019-05-31,,"5,900","5,860","5,870"
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"5,870","5,870","5,870"
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"5,870","5,900","5,900"
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"5,900","5,780","5,950"
2019-06-11,,,,
2019-06-12,,"5,950","5,900","5,900"
2019-06-13,,"5,900","5,960","5,960"
2019-06-14,,"5,960","5,900","5,960"
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"5,960","5,960","5,960"
2019-06-18,,"5,960","5,900","5,800"
2019-06-19,,"5,800","5,920","5,920"
2019-06-20,,"5,920","5,920","5,920"
2019-06-21,,"5,920","5,920","5,900"
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"5,900","5,810","5,800"
2019-06-25,,"5,800","5,800","5,800"
2019-06-26,,"5,800","5,800","5,800"
2019-06-27,,"5,800","5,770","5,760"
2019-06-28,,"5,760","5,930","5,930"
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"5,930","6,000","6,000"
2019-07-02,,"6,000",,
2019-07-03,,"6,000",,
2019-07-04,,"6,000","6,000","5,900"
2019-07-05,,"5,900","5,900","5,900"
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"5,900","5,910","6,040"
2019-07-09,,"6,040","6,120","6,040"
2019-07-10,,"6,040","6,040","6,040"
2019-07-11,,"6,040","6,090","6,090"
2019-07-12,,"6,090","6,010","6,000"
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"6,000","6,000","6,170"
2019-07-16,,"6,170","6,160","6,160"
2019-07-17,,"6,160","6,100","6,100"
2019-07-18,,"6,100","6,010","6,010"
2019-07-19,,"6,010","6,030","6,010"
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"6,010","6,010","6,000"
2019-07-23,,"6,000","6,020","6,020"
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"6,010","6,020","6,070"
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,"6,040","6,050","6,100"
2019-07-31,,"6,100","6,100","6,090"
2019-08-01,,"6,090","6,130","6,090"
2019-08-02,,"5,560","5,700","5,700"
2019-08-03,,,,
