,TELNET,ref,ouverture,cloture
2019-03-05,,"10,790","10,770","10,650"
2019-03-06,,"10,650","10,650","10,640"
2019-03-07,,"10,640","10,570","11,250"
2019-03-08,,"11,250","11,400","11,400"
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"11,400","11,400","11,370"
2019-03-12,,"11,370","11,050","11,370"
2019-03-13,,"11,370","11,440","11,370"
2019-03-14,,"11,370","11,150","11,350"
2019-03-15,,"11,350","11,350","11,190"
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"11,190","11,150","11,140"
2019-03-19,,"11,140","11,140","11,100"
2019-03-20,,,,
2019-03-21,,"11,100","11,100","11,090"
2019-03-22,,"11,090","11,080","11,480"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"11,480","11,480","11,470"
2019-03-26,,"11,470","11,350","11,690"
2019-03-27,,"11,690","11,600","12,000"
2019-03-28,,,,
2019-03-29,,"11,920","11,950","12,000"
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"12,000","12,000","11,790"
2019-04-02,,"11,790","11,790","11,790"
2019-04-03,,"11,790","11,940","11,650"
2019-04-04,,"11,650","11,500","11,790"
2019-04-05,,"11,790","11,790","11,700"
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"11,700","11,650","11,610"
2019-04-09,,,,
2019-04-10,,"11,610","11,790","11,570"
2019-04-11,,"11,570","11,500","11,540"
2019-04-12,,"11,540","11,520","11,880"
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"11,880","12,000","11,940"
2019-04-16,,"11,940","11,980","11,870"
2019-04-17,,"11,870","11,800","11,800"
2019-04-18,,"11,800","11,800","11,800"
2019-04-19,,"11,800","11,800","11,700"
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"11,700","11,560","11,800"
2019-04-23,,"11,800","11,830","11,630"
2019-04-24,,"11,630","11,500","11,600"
2019-04-25,,"11,600","11,600","11,640"
2019-04-26,,"11,640","11,590","11,490"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"11,490","11,490","11,250"
2019-04-30,,"11,250","11,200","11,090"
2019-05-01,,,,
2019-05-02,,"11,090","10,920","11,150"
2019-05-03,,"11,150","11,150","11,000"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"11,000","11,040","11,000"
2019-05-07,,"11,000","11,220","10,900"
2019-05-08,,"10,900","10,900","10,840"
2019-05-09,,"10,840","11,000","11,160"
2019-05-10,,"11,160","10,900","11,150"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"11,150","10,960","11,100"
2019-05-14,,"11,100","11,110","11,190"
2019-05-15,,"11,190","11,190","11,000"
2019-05-16,,"11,000","11,000","11,160"
2019-05-17,,"11,160","11,060","11,200"
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"11,200","11,200","11,200"
2019-05-21,,"11,200","11,150","11,210"
2019-05-22,,"11,210","11,350","11,350"
