,HANNIBAL LEASE,ref,ouverture,cloture
2019-02-26,,"6,840","6,640","6,640"
2019-02-27,,"6,640",,
2019-02-28,,"6,350",,
2019-03-01,,"6,070","6,000","6,150"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"6,150",,
2019-03-05,,"6,150","5,880","6,180"
2019-03-06,,"6,180",,
2019-03-07,,"6,180",,
2019-03-08,,"6,180","6,170","6,170"
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"6,170","6,000","6,150"
2019-03-12,,"6,150",,
2019-03-13,,"5,970","5,800","6,140"
2019-03-14,,"6,140",,
2019-03-15,,"6,140",,
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"6,140",,
2019-03-19,,"6,140",,
2019-03-20,,,,
2019-03-21,,"6,140",,
2019-03-22,,"6,140","6,000","6,000"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"6,000","6,150","6,170"
2019-03-26,,"6,170","6,170","6,300"
2019-03-27,,"6,300",,
2019-03-28,,,,
2019-03-29,,"6,580","6,770","6,770"
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"6,770","6,770","6,950"
2019-04-02,,"6,950","6,750","6,750"
2019-04-03,,"6,750","6,940","6,940"
2019-04-04,,"6,940",,
2019-04-05,,"6,940",,
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"6,940",,
2019-04-09,,,,
2019-04-10,,"6,940",,
2019-04-11,,"6,940","6,740","6,940"
2019-04-12,,"6,940","6,930","6,930"
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"6,930",,
2019-04-16,,"6,930",,
2019-04-17,,"6,730","6,530","6,930"
2019-04-18,,"6,930",,
2019-04-19,,"6,930",,
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"6,930",,
2019-04-23,,"6,930",,
2019-04-24,,"6,930",,
2019-04-25,,"6,730",,
2019-04-26,,"6,530","6,340","6,720"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"6,720","6,900","6,900"
2019-04-30,,"6,900",,
2019-05-01,,,,
2019-05-02,,"6,900","6,890","6,890"
2019-05-03,,"6,890","6,890","6,890"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"6,890",,
