,GIF,ref,ouverture,cloture
2019-07-08,,"0,710","0,690","0,690"
2019-07-09,,"0,690","0,700","0,710"
2019-07-10,,"0,710","0,720","0,710"
2019-07-11,,"0,710","0,710","0,710"
2019-07-12,,"0,710","0,690","0,710"
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"0,710","0,700","0,700"
2019-07-16,,"0,700","0,700","0,700"
2019-07-17,,"0,700","0,710","0,690"
2019-07-18,,"0,690","0,700","0,700"
2019-07-19,,"0,700","0,680","0,690"
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"0,690","0,670","0,670"
2019-07-23,,"0,670","0,670","0,670"
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"0,680","0,650","0,670"
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,"0,640","0,620","0,660"
2019-07-31,,"0,660","0,670","0,670"
2019-08-01,,"0,670","0,690","0,680"
2019-08-02,,"0,680","0,690","0,710"
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,"0,710","0,690","0,690"
2019-08-06,,"0,690","0,690","0,670"
2019-08-07,,"0,670","0,660","0,690"
2019-08-08,,"0,690","0,690","0,670"
2019-08-09,,"0,670","0,690","0,690"
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"0,690","0,690","0,690"
2019-08-15,,"0,690","0,700","0,700"
2019-08-16,,"0,700",,
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"0,680","0,700","0,690"
2019-08-20,,"0,690","0,680","0,680"
2019-08-21,,"0,680","0,660","0,680"
2019-08-22,,"0,680","0,650","0,670"
2019-08-23,,"0,670","0,680","0,690"
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"0,690","0,690","0,670"
2019-08-27,,"0,670","0,650","0,680"
2019-08-28,,"0,680","0,650","0,690"
2019-08-29,,"0,690","0,690","0,680"
2019-08-30,,"0,680","0,670","0,670"
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"0,670","0,680","0,680"
2019-09-03,,"0,680","0,660","0,660"
2019-09-04,,"0,660","0,660","0,670"
2019-09-05,,"0,670","0,660","0,680"
2019-09-06,,"0,680","0,660","0,680"
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,"0,680","0,700","0,690"
2019-09-12,,"0,690","0,690","0,690"
2019-09-13,,"0,690","0,670","0,680"
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"0,680",,
2019-09-17,,"0,680",,
2019-09-18,,"0,680","0,670","0,680"
2019-09-19,,"0,680",,
2019-09-20,,"0,680","0,670","0,680"
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"0,680","0,690","0,680"
2019-09-24,,"0,680","0,670","0,680"
2019-09-25,,"0,680","0,660","0,670"
2019-09-26,,"0,670","0,660","0,670"
2019-09-27,,"0,670",,
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"0,670","0,650","0,650"
2019-10-01,,"0,650","0,660","0,660"
2019-10-02,,"0,660","0,660","0,670"
2019-10-03,,"0,670","0,690","0,680"
2019-10-04,,"0,680","0,660","0,680"
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"0,680","0,660","0,680"
2019-10-08,,"0,680",,
2019-10-09,,"0,680","0,660","0,680"
2019-10-10,,"0,680","0,650","0,680"
2019-10-11,,"0,680","0,660","0,680"
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,"0,680","0,680","0,680"
2019-10-15,,,,
2019-10-16,,"0,680","0,670","0,670"
