,STAR,ref,ouverture,cloture
2018-09-19,,"139,000","139,000","140,000"
2018-09-20,,"140,000",,
2018-09-21,,"135,800","134,830","137,980"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"137,980","142,000","141,890"
2018-09-25,,"141,890",,
2018-09-26,,"141,890",,
2018-09-27,,"141,890","140,990","137,640"
2018-09-28,,"137,640","137,600","135,000"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"135,000",,
2018-10-02,,"135,000","136,000","135,500"
2018-10-03,,"135,500",,
2018-10-04,,"135,500","131,440","131,440"
2018-10-05,,"131,440","131,440","135,300"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"135,300","131,510","135,500"
2018-10-09,,"135,500",,
2018-10-10,,"135,500","135,500","135,400"
2018-10-11,,,,
2018-10-12,,"131,600","129,000","131,000"
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"131,000","128,010","134,000"
2018-10-17,,"134,000","134,000","134,000"
2018-10-18,,"134,000","131,600","133,990"
2018-10-19,,"133,990","134,900","133,990"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"133,990","134,000","133,980"
2018-10-23,,"133,980",,
2018-10-24,,"133,980","133,980","133,000"
2018-10-25,,"133,000","130,000","132,990"
2018-10-26,,"132,990","133,000","132,000"
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"132,000","134,900","137,600"
2018-10-30,,"137,600","137,600","139,900"
2018-10-31,,"139,900","135,720","140,900"
2018-11-01,,"140,900","140,890","140,000"
2018-11-02,,"140,000","139,800","139,800"
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"139,800",,
2018-11-06,,"139,800","139,700","135,610"
2018-11-07,,"135,610","139,600","139,500"
2018-11-08,,"139,500","135,500","138,850"
2018-11-09,,"138,850","135,500","135,500"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"135,500","134,000","134,000"
2018-11-13,,"134,000",,
2018-11-14,,"134,000","132,000","132,000"
2018-11-15,,"132,000","133,800","132,000"
2018-11-16,,"132,000","132,000","133,490"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"133,490","130,010","134,500"
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"134,920",,
2018-11-23,,"134,920",,
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"134,920","134,000","134,000"
2018-11-27,,"134,000","131,300","133,890"
2018-11-28,,"133,890","133,900","134,000"
2018-11-29,,"134,000","134,000","137,990"
2018-11-30,,"137,990",,
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"137,990",,
2018-12-04,,"137,990",,
2018-12-05,,"137,990",,
2018-12-06,,"137,990",,
2018-12-07,,"137,990",,
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"137,990",,
2018-12-11,,"137,990","133,860","133,860"
2018-12-12,,"133,860","130,000","137,470"
2018-12-13,,"137,470","137,000","135,000"
2018-12-14,,"135,000","134,890","134,890"
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"134,890",,
2018-12-18,,,,
2018-12-19,,"130,000","130,000","130,000"
2018-12-20,,"130,000","130,000","126,500"
2018-12-21,,"126,500","126,510","126,500"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"126,500","126,500","126,500"
2018-12-25,,"126,500","124,500","128,230"
2018-12-26,,"128,230","124,390","130,000"
2018-12-27,,"130,000","126,100","126,100"
2018-12-28,,"126,100","122,320","129,880"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"129,880","135,720","135,720"
2019-01-01,,,,
2019-01-02,,"135,720","136,900","137,000"
2019-01-03,,"137,000",,
2019-01-04,,"132,890","131,990","131,990"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"131,990",,
2019-01-08,,"131,990",,
