,biat,ref,ouverture,cloture
2019-02-15,,"115,000","115,000","115,000"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"115,000","115,000","115,000"
2019-02-19,,"115,000","116,940","114,000"
2019-02-20,,"114,000","113,120","115,000"
2019-02-21,,"115,000","115,000","113,000"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"115,000","117,000","115,000"
2019-02-26,,"115,000","115,000","116,000"
2019-02-27,,"116,000","116,400","116,400"
2019-02-28,,"116,400","116,350","115,000"
2019-03-01,,"115,000","116,390","115,000"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"115,000","115,990","115,990"
2019-03-05,,"115,990","115,000","113,500"
2019-03-06,,"113,500","113,850","113,000"
2019-03-07,,"113,000","113,000","115,000"
2019-03-08,,"115,000","114,000","113,500"
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"113,500","113,010","112,800"
2019-03-12,,"112,800","113,000","112,000"
2019-03-13,,"112,000","112,300","109,000"
2019-03-14,,"109,000","106,100","110,870"
2019-03-15,,"110,870","112,000","108,640"
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"108,640","107,800","109,500"
2019-03-19,,"109,500","110,990","109,500"
2019-03-20,,,,
2019-03-21,,"109,500","112,490","112,000"
2019-03-22,,"112,000","113,630","116,000"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"116,000","119,480","119,900"
2019-03-26,,"119,900","119,900","118,000"
2019-03-27,,"118,000","119,490","118,200"
2019-03-28,,,,
2019-03-29,,"116,990","116,930","116,000"
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"116,000","115,200","117,000"
2019-04-02,,"117,000","117,000","116,000"
2019-04-03,,"116,000","116,000","116,690"
2019-04-04,,"116,690","116,000","118,500"
2019-04-05,,"118,500","117,500","118,000"
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"118,000","115,000","114,900"
2019-04-09,,,,
2019-04-10,,"114,900","114,900","115,000"
2019-04-11,,"115,000","115,000","115,000"
2019-04-12,,"115,000","117,700","114,900"
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"114,900","114,980","114,980"
2019-04-16,,"114,980","115,000","115,000"
2019-04-17,,"115,000","116,600","115,500"
2019-04-18,,"115,500","116,900","115,000"
2019-04-19,,"115,000","116,850","115,000"
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"115,000","114,000","115,500"
2019-04-23,,"115,500","114,990","114,900"
2019-04-24,,"114,900","114,030","113,950"
2019-04-25,,"113,950","114,000","113,950"
2019-04-26,,"113,950","113,700","115,100"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"115,100","116,000","115,000"
2019-04-30,,"115,000","114,020","115,210"
2019-05-01,,,,
2019-05-02,,"115,210","115,000","117,390"
2019-05-03,,"117,390","117,390","115,500"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"115,500","116,000","116,000"
2019-05-07,,"116,000","116,000","119,000"
2019-05-08,,"119,000","117,610","120,000"
2019-05-09,,"120,000","119,950","119,950"
2019-05-10,,"114,950","118,350","115,500"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"115,500","113,760","114,500"
2019-05-14,,"114,500","114,500","113,000"
2019-05-15,,"113,000","113,020","113,000"
2019-05-16,,"113,000","113,000","112,800"
2019-05-17,,"112,800","112,810","112,800"
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"112,800","112,800","112,000"
2019-05-21,,"112,000","112,100","111,600"
2019-05-22,,"111,600","111,610","111,400"
2019-05-23,,"111,400","110,400","111,700"
2019-05-24,,"111,700","112,000","111,900"
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"111,900","111,900","111,000"
2019-05-28,,"111,000","110,300","110,500"
2019-05-29,,"110,500","110,000","110,000"
2019-05-30,,"110,000","110,500","110,000"
2019-05-31,,"110,000","110,000","110,000"
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"110,000","110,000","109,500"
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"109,500","109,500","109,500"
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"109,500","107,000","109,000"
2019-06-11,,,,
2019-06-12,,"107,990","108,000","110,000"
2019-06-13,,"110,000","110,000","109,050"
2019-06-14,,"109,050","109,050","109,000"
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"109,000","110,000","109,000"
2019-06-18,,"109,000","109,000","109,000"
2019-06-19,,"109,000","109,000","110,000"
2019-06-20,,"110,000","110,000","109,980"
2019-06-21,,"109,980","109,920","110,250"
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"110,250","110,000","110,000"
2019-06-25,,"110,000","110,500","111,000"
2019-06-26,,"111,000","110,000","110,000"
2019-06-27,,"110,000","110,000","109,500"
2019-06-28,,"109,500","109,500","110,000"
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"110,000","110,000","110,000"
2019-07-02,,"110,000","111,000","110,000"
2019-07-03,,"110,000","110,000","110,000"
2019-07-04,,"110,000","110,000","110,000"
2019-07-05,,"110,000","110,000","110,990"
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"110,990","114,000","112,000"
2019-07-09,,"112,000","112,000","111,000"
2019-07-10,,"111,000","110,300","112,990"
2019-07-11,,"112,990","112,990","112,890"
2019-07-12,,"112,890","112,500","115,880"
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"115,880","115,850","116,970"
2019-07-16,,"116,970","117,000","118,490"
2019-07-17,,"118,490","117,100","117,000"
2019-07-18,,"117,000","118,480","118,000"
2019-07-19,,"118,000","118,000","117,000"
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"117,000","116,000","116,000"
2019-07-23,,"116,000","116,000","116,000"
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"115,000","115,100","115,000"
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,"114,310","114,300","112,110"
2019-07-31,,"112,110","115,950","114,000"
2019-08-01,,"114,000","114,500","115,000"
2019-08-02,,"115,000","115,000","115,950"
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,"115,950","115,980","115,980"
2019-08-06,,"115,980","115,110","115,980"
2019-08-07,,"115,980","116,100","116,980"
2019-08-08,,"116,980","117,000","116,980"
2019-08-09,,"116,980","116,000","116,000"
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"116,000","116,000","115,890"
2019-08-15,,"115,890","115,000","115,000"
2019-08-16,,"115,000","114,500","115,500"
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"115,500","115,350","116,490"
2019-08-20,,"116,490","116,480","116,480"
2019-08-21,,"116,480","116,990","116,760"
2019-08-22,,"116,760","115,000","116,750"
2019-08-23,,"116,750","114,300","115,900"
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"115,900","114,100","116,000"
2019-08-27,,"116,000","116,000","116,760"
