,SIMPAR,ref,ouverture,cloture
2019-09-27,,"31,510",,
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"31,510",,
2019-10-01,,"31,510","32,000","32,010"
2019-10-02,,"32,010","32,010","32,010"
2019-10-03,,"32,010","32,200","32,950"
2019-10-04,,"32,950",,
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"32,950",,
2019-10-08,,"32,950",,
2019-10-09,,"32,950",,
2019-10-10,,"32,950",,
2019-10-11,,"32,950","32,500","32,500"
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,"32,500","32,500","33,000"
2019-10-15,,,,
2019-10-16,,"33,000",,
2019-10-17,,"33,000","33,000","33,000"
2019-10-18,,"33,000",,
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,"33,000",,
2019-10-22,,"33,000",,
2019-10-23,,"33,000","31,520","33,500"
2019-10-24,,"33,500",,
2019-10-25,,"33,500",,
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,"33,500","33,490","33,490"
2019-10-29,,"33,490","33,490","33,500"
2019-10-30,,"33,500",,
2019-10-31,,"33,500",,
2019-11-01,,"33,500","33,990","33,990"
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,"33,990","33,990","33,990"
2019-11-05,,"33,990","33,990","34,400"
2019-11-06,,"34,400","34,400","34,400"
2019-11-07,,"34,400",,
2019-11-08,,"34,400",,
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,"34,400",,
2019-11-12,,"34,400","34,000","34,500"
2019-11-13,,"34,500","34,010","34,000"
2019-11-14,,"34,000","34,000","34,000"
2019-11-15,,"34,000","34,000","34,000"
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,"34,000","34,000","34,000"
2019-11-19,,"34,000",,
2019-11-20,,"34,000","34,000","34,000"
2019-11-21,,"34,000",,
2019-11-22,,"34,000","34,000","34,000"
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,"34,000",,
2019-11-26,,"34,000",,
2019-11-27,,"34,000",,
2019-11-28,,"34,000",,
2019-11-29,,"34,000",,
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,"34,000",,
2019-12-03,,"34,000",,
2019-12-04,,"34,000",,
2019-12-05,,"34,000","34,000","34,000"
2019-12-06,,"34,000",,
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,"34,000","34,010","34,500"
2019-12-10,,"34,500","34,500","34,030"
2019-12-11,,"34,030","34,100","34,500"
2019-12-12,,"34,500","34,500","35,500"
2019-12-13,,"35,500",,
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,"35,500","36,500","35,500"
2019-12-17,,"35,500","35,600","36,560"
2019-12-18,,"36,560","37,600","37,650"
2019-12-19,,"37,650","38,770","38,770"
2019-12-20,,"38,770","38,770","38,770"
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,"38,770","38,780","38,900"
2019-12-24,,"38,900",,
2019-12-25,,"38,900","38,900","39,890"
2019-12-26,,"39,890","39,890","39,890"
2019-12-27,,"39,890","39,890","39,890"
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,"39,890","39,890","39,890"
2019-12-31,,"39,890","39,890","39,890"
2020-01-01,,,,
2020-01-02,,"39,890","39,880","39,880"
2020-01-03,,"39,880","39,800","39,800"
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"39,800",,
2020-01-07,,"39,800","39,610","39,500"
2020-01-08,,"39,500","38,320","38,320"
2020-01-09,,"38,320","38,300","38,300"
2020-01-10,,"38,300","39,300","39,400"
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"39,400","39,490","39,500"
2020-01-14,,,,
2020-01-15,,"39,500",,
2020-01-16,,"39,500",,
2020-01-17,,"39,500",,
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"39,500",,
2020-01-21,,"39,500","38,320","39,500"
2020-01-22,,"39,500","39,500","39,500"
2020-01-23,,"39,500",,
2020-01-24,,"39,500",,
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"39,500",,
2020-01-28,,"39,500",,
2020-01-29,,"39,500",,
2020-01-30,,"39,500","39,000","39,000"
2020-01-31,,"39,000",,
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"39,000",,
2020-02-04,,"39,000",,
2020-02-05,,"39,000","39,000","39,000"
2020-02-06,,"39,000",,
2020-02-07,,"39,000","39,490","39,500"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"39,500",,
2020-02-11,,"39,500",,
2020-02-12,,"39,500","39,000","39,000"
2020-02-13,,"39,000",,
2020-02-14,,"39,000","39,790","39,790"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"40,000",,
2020-02-27,,,,
