,TIL,ref,ouverture,cloture
2019-02-15,,"15,690",,
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"15,690","15,220","15,220"
2019-02-19,,"15,220",,
2019-02-20,,"15,220","15,030","15,000"
2019-02-21,,"15,000","15,000","14,550"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"14,550","14,500","14,500"
2019-02-26,,"14,500","14,930","14,450"
2019-02-27,,"14,930","14,930","14,930"
2019-02-28,,"14,930",,
2019-03-01,,"14,930","14,500","14,500"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"14,500",,
2019-03-05,,"14,500",,
2019-03-06,,"14,500",,
2019-03-07,,"14,500",,
2019-03-08,,"14,500","14,110","14,100"
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"14,100","14,050","14,050"
2019-03-12,,"14,050",,
2019-03-13,,"14,050","13,750","13,750"
2019-03-14,,"13,750",,
2019-03-15,,"13,750","13,670","13,670"
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"14,080","13,700","13,700"
2019-03-19,,"13,700","13,650","13,290"
2019-03-20,,,,
2019-03-21,,"13,290","13,290","12,900"
2019-03-22,,"12,900","12,540","12,520"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"12,520","12,840","12,840"
2019-03-26,,"12,840",,
2019-03-27,,"13,220","13,210","13,210"
2019-03-28,,,,
2019-03-29,,"13,210",,
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"13,210",,
2019-04-02,,"13,210","12,900","13,200"
2019-04-03,,"13,200","13,200","13,200"
2019-04-04,,"13,200","13,200","13,000"
2019-04-05,,"13,000","12,660","13,000"
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"13,000","12,610","12,990"
2019-04-09,,,,
2019-04-10,,"12,990","12,990","12,990"
2019-04-11,,"12,990",,
2019-04-12,,"12,990","13,290","13,300"
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"13,300",,
2019-04-16,,"13,300",,
2019-04-17,,"13,300",,
2019-04-18,,"13,300","13,280","13,280"
2019-04-19,,"13,280","13,290","13,290"
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"13,290",,
2019-04-23,,"13,290","13,290","13,350"
2019-04-24,,"13,350","13,350","13,330"
2019-04-25,,"13,330",,
2019-04-26,,"13,720",,
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"13,720","13,990","13,990"
2019-04-30,,"13,990","13,950","13,580"
2019-05-01,,,,
2019-05-02,,"13,580","13,250","13,250"
2019-05-03,,"13,250","13,150","13,150"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"13,150","12,940","12,900"
2019-05-07,,"12,900","13,240","13,240"
