,ATL,ref,ouverture,cloture
2019-10-01,,"1,650","1,670","1,650"
2019-10-02,,"1,650","1,610","1,630"
2019-10-03,,"1,630","1,650","1,610"
2019-10-04,,"1,610","1,610","1,610"
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"1,610","1,650","1,650"
2019-10-08,,"1,650","1,610","1,630"
2019-10-09,,"1,630","1,650","1,650"
2019-10-10,,"1,650","1,630","1,630"
2019-10-11,,"1,630","1,630","1,630"
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,"1,630","1,610","1,610"
2019-10-15,,,,
2019-10-16,,"1,610","1,630","1,630"
2019-10-17,,"1,630","1,640","1,640"
2019-10-18,,"1,640","1,600","1,620"
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,"1,620","1,650","1,620"
2019-10-22,,"1,620","1,600","1,600"
2019-10-23,,"1,600","1,620","1,600"
2019-10-24,,"1,600","1,600","1,600"
2019-10-25,,"1,600","1,620","1,600"
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,"1,600","1,620","1,590"
2019-10-29,,"1,590","1,620","1,600"
2019-10-30,,"1,600",,
2019-10-31,,"1,600","1,600","1,600"
2019-11-01,,"1,600","1,620","1,600"
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,"1,600","1,620","1,580"
2019-11-05,,"1,580","1,570","1,570"
2019-11-06,,"1,570","1,560","1,530"
2019-11-07,,"1,530","1,500","1,510"
2019-11-08,,"1,510","1,530","1,490"
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,"1,490","1,530","1,530"
2019-11-12,,"1,530","1,500","1,490"
2019-11-13,,"1,490","1,500","1,470"
2019-11-14,,"1,470","1,480","1,480"
2019-11-15,,"1,480","1,470","1,470"
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,"1,470","1,460","1,450"
2019-11-19,,"1,450","1,450","1,410"
2019-11-20,,"1,410","1,440","1,430"
2019-11-21,,"1,430","1,430","1,420"
2019-11-22,,"1,420","1,460","1,460"
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,"1,460","1,420","1,450"
