,ESSOUKNA,ref,ouverture,cloture
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"2,570","2,550","2,500"
2019-02-26,,"2,500","2,570","2,500"
2019-02-27,,"2,500","2,490","2,460"
2019-02-28,,"2,460","2,460","2,390"
2019-03-01,,"2,390","2,380","2,330"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"2,330","2,330","2,290"
2019-03-05,,"2,290","2,290","2,190"
2019-03-06,,"2,190","2,190","2,190"
2019-03-07,,"2,190","2,230","2,270"
2019-03-08,,"2,270","2,270","2,210"
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"2,210","2,270","2,150"
2019-03-12,,"2,150","2,210","2,150"
2019-03-13,,"2,150","2,210","2,150"
2019-03-14,,"2,150","2,140","2,060"
2019-03-15,,"2,060","2,060","2,070"
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"2,070","2,060","2,100"
2019-03-19,,"2,100","2,140","2,130"
2019-03-20,,,,
2019-03-21,,"2,130",,
2019-03-22,,"2,130","2,140","2,170"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"2,170","2,160","2,170"
2019-03-26,,"2,170","2,150","2,170"
2019-03-27,,"2,170",,
2019-03-28,,,,
2019-03-29,,"2,170",,
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"2,170",,
2019-04-02,,"2,170","2,110","2,170"
2019-04-03,,"2,170",,
2019-04-04,,"2,170",,
2019-04-05,,"2,170",,
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"2,170","2,120","2,170"
2019-04-09,,,,
2019-04-10,,"2,170","2,170","2,170"
2019-04-11,,"2,170","2,170","2,170"
2019-04-12,,"2,170",,
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"2,170",,
2019-04-16,,"2,170","2,110","2,160"
2019-04-17,,"2,160","2,100","2,150"
2019-04-18,,"2,150","2,160","2,160"
2019-04-19,,"2,160","2,100","2,100"
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"2,100","2,100","2,100"
2019-04-23,,"2,100","2,070","2,100"
2019-04-24,,"2,100","2,060","2,100"
2019-04-25,,"2,100","2,100","2,130"
2019-04-26,,"2,130","2,070","2,070"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"2,070","2,130","2,100"
2019-04-30,,"2,100","2,040","2,100"
2019-05-01,,,,
2019-05-02,,"2,100","2,110","2,100"
2019-05-03,,"2,100","2,090","2,050"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"2,050","2,050","2,050"
2019-05-07,,"2,050","2,010","1,990"
2019-05-08,,"1,990","2,040","2,040"
2019-05-09,,"2,040","2,030","2,030"
2019-05-10,,"2,030","2,030","2,030"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"2,030","2,030","2,030"
2019-05-14,,"1,970","2,030","2,030"
2019-05-15,,"2,030","2,030","2,030"
2019-05-16,,"1,970","2,020","2,050"
2019-05-17,,"1,930","1,980","2,000"
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"2,000","2,000","1,940"
2019-05-21,,"1,940","1,990","1,990"
2019-05-22,,"1,990","1,920","1,920"
2019-05-23,,"1,920","1,990","1,990"
2019-05-24,,"1,990",,
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"1,990",,
2019-05-28,,"1,990",,
2019-05-29,,"1,990","1,940","1,940"
2019-05-30,,"1,940","1,900","1,940"
2019-05-31,,"1,890","1,940","1,900"
2019-06-01,,,,
2019-06-02,,,,
