,TPR,ref,ouverture,cloture
2019-03-11,,"4,970","5,040","4,900"
2019-03-12,,"4,900","4,860","4,990"
2019-03-13,,"4,990","4,890","4,990"
2019-03-14,,"4,990","5,040","4,990"
2019-03-15,,"4,990","5,000","4,990"
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"4,990","5,000","4,990"
2019-03-19,,"4,990","4,980","4,850"
2019-03-20,,,,
2019-03-21,,"4,850","4,960","4,900"
2019-03-22,,"4,900","4,940","4,940"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"4,940","4,940","4,900"
2019-03-26,,"4,900","4,930","4,990"
2019-03-27,,"4,990","5,020","5,100"
2019-03-28,,,,
2019-03-29,,"5,100","5,110","5,100"
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"5,100","5,100","5,050"
2019-04-02,,"5,050","5,020","5,090"
2019-04-03,,"5,090","5,090","5,100"
2019-04-04,,"5,100","5,000","5,050"
2019-04-05,,"5,050","4,960","5,000"
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"5,000","4,990","5,050"
2019-04-09,,,,
2019-04-10,,"5,050","5,000","5,000"
2019-04-11,,"5,000","5,000","4,960"
2019-04-12,,"4,960","5,050","4,960"
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"4,960","4,960","5,000"
2019-04-16,,"5,000","5,000","5,000"
2019-04-17,,"5,000","5,000","5,050"
2019-04-18,,"5,050","5,000","5,000"
2019-04-19,,"5,000","5,000","5,000"
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"5,000","4,960","5,000"
2019-04-23,,"5,000","4,970","4,960"
2019-04-24,,"4,960","4,970","4,960"
2019-04-25,,"4,960","5,000","4,920"
2019-04-26,,"4,920","5,000","4,930"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"4,930","4,950","4,890"
2019-04-30,,"4,890","4,950","4,900"
2019-05-01,,,,
2019-05-02,,"4,900","4,950","4,940"
2019-05-03,,"4,940","4,860","4,870"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"4,870","4,950","4,950"
2019-05-07,,"4,950","4,980","4,950"
2019-05-08,,"4,950","4,950","4,950"
2019-05-09,,"4,950","4,950","4,940"
2019-05-10,,"4,940","4,940","4,900"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"4,900","4,950","4,940"
2019-05-14,,"4,940","4,930","4,930"
2019-05-15,,"4,930","4,930","4,850"
2019-05-16,,"4,850","4,850","4,840"
2019-05-17,,"4,840","4,900","4,900"
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"4,900","4,900","4,900"
2019-05-21,,"4,900","4,900","4,900"
2019-05-22,,"4,900","4,900","4,900"
2019-05-23,,"4,900","4,930","4,930"
2019-05-24,,"4,930","4,930","4,950"
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"4,950","4,950","4,900"
2019-05-28,,"4,900","4,900","4,930"
2019-05-29,,"4,930","4,950","4,950"
2019-05-30,,"4,950","4,950","4,950"
2019-05-31,,"4,950","4,980","4,980"
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"4,980","4,860","4,980"
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"4,980","4,970","4,970"
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"4,970","4,970","4,950"
2019-06-11,,,,
2019-06-12,,"4,860","4,860","4,860"
