,Delice,ref,ouverture,cloture
2019-10-14,,"10,200","10,180","10,200"
2019-10-15,,,,
2019-10-16,,"10,200","10,200","10,490"
2019-10-17,,"10,500","10,690","10,370"
2019-10-18,,"10,370","10,460","10,450"
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,"10,450","10,450","10,450"
2019-10-22,,"10,450","10,430","10,430"
2019-10-23,,"10,430","10,300","10,350"
2019-10-24,,"10,350","10,450","10,350"
2019-10-25,,"10,350","10,430","10,350"
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,"10,350","10,350","10,300"
2019-10-29,,"10,300","10,300","10,340"
2019-10-30,,"10,340","10,350","10,290"
2019-10-31,,"10,290","10,250","10,290"
2019-11-01,,"10,290","10,350","10,290"
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,"10,290","10,390","10,290"
2019-11-05,,"10,290","10,290","10,290"
2019-11-06,,"10,290","10,290","10,290"
2019-11-07,,"10,290","10,290","10,290"
2019-11-08,,"10,290","10,290","10,290"
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,"10,290","10,210","10,290"
2019-11-12,,"10,290","10,290","10,290"
2019-11-13,,"10,290","10,290","10,290"
2019-11-14,,"10,290","10,390","10,300"
2019-11-15,,"10,300","10,540","10,210"
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,"10,210","10,200","10,200"
2019-11-19,,"10,200","10,500","10,400"
2019-11-20,,"10,400","10,540","10,400"
2019-11-21,,"10,400","10,550","10,400"
2019-11-22,,"10,400","10,550","10,400"
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,"10,400","10,540","10,540"
2019-11-26,,"10,540","10,400","10,240"
2019-11-27,,"10,240","10,200","10,480"
2019-11-28,,"10,480","10,500","10,500"
2019-11-29,,"10,500","10,510","10,300"
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,"10,300","10,450","10,450"
2019-12-03,,"10,450","10,450","10,390"
2019-12-04,,"10,390","10,440","10,200"
2019-12-05,,"10,200","10,440","10,200"
2019-12-06,,"10,200","10,420","10,420"
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,"10,420","10,400","10,300"
2019-12-10,,"10,300","10,550","10,300"
2019-12-11,,"10,300","10,300","10,300"
2019-12-12,,"10,300","10,300","10,300"
2019-12-13,,"10,300","10,300","10,260"
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,"10,260","10,260","10,500"
2019-12-17,,"10,500","10,450","10,220"
2019-12-18,,"10,220","10,480","10,220"
2019-12-19,,"10,220","10,420","10,350"
2019-12-20,,"10,350","10,350","10,170"
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,"10,170","10,350","10,210"
2019-12-24,,"10,210","10,210","10,170"
2019-12-25,,"10,170","10,400","10,400"
2019-12-26,,"10,400","10,170","10,360"
2019-12-27,,"10,360","10,580","10,400"
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,"10,400","10,660","10,360"
2019-12-31,,"10,360","10,480","10,370"
2020-01-01,,,,
2020-01-02,,"10,370","10,380","10,300"
2020-01-03,,"10,300","10,370","10,360"
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"10,360","10,390","10,210"
2020-01-07,,"10,210","10,510","10,600"
2020-01-08,,"10,600","10,290","10,580"
2020-01-09,,"10,580","10,600","10,450"
2020-01-10,,"10,450","10,600","10,460"
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"10,460","10,700","10,500"
2020-01-14,,,,
2020-01-15,,"10,500","10,500","10,750"
2020-01-16,,"10,750","10,750","10,750"
2020-01-17,,"10,750","10,460","10,450"
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"10,450","10,760","10,750"
2020-01-21,,"10,750","10,780","10,750"
2020-01-22,,"10,750","10,500","10,600"
2020-01-23,,"10,600","10,740","10,700"
2020-01-24,,"10,700","10,670","10,680"
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"10,680","10,800","10,780"
2020-01-28,,"10,780","10,800","10,780"
2020-01-29,,"10,780","10,780","10,770"
2020-01-30,,"10,770","10,770","11,250"
2020-01-31,,"11,250","11,250","11,500"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"11,580","11,580","11,580"
2020-02-04,,"11,580","11,610","11,610"
2020-02-05,,"11,610","11,600","11,780"
2020-02-06,,"11,950","11,950","12,000"
2020-02-07,,"12,000","12,250","12,290"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"12,290","12,290","12,500"
2020-02-11,,"12,650","12,980","12,680"
2020-02-12,,"12,680","12,880","12,650"
2020-02-13,,"12,650","12,650","12,800"
2020-02-14,,"12,800","12,980","12,800"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"12,620","12,750","12,560"
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,"12,500","12,850","12,470"
2020-03-06,,"12,470","12,800","12,440"
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,"12,440","12,700","12,240"
2020-03-10,,"12,240","11,950","11,850"
2020-03-11,,"11,850","11,850","12,190"
2020-03-12,,"12,190","12,240","11,850"
2020-03-13,,"11,850",,
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,"11,850","11,420","11,320"
2020-03-17,,"11,320","11,400","11,300"
