,SOTETEL,ref,ouverture,cloture
2019-11-08,,"4,830","4,970","5,000"
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,"5,000","5,150","5,000"
2019-11-12,,"5,000","5,150","5,000"
2019-11-13,,"5,000","5,000","5,000"
2019-11-14,,"5,000","5,050","5,000"
2019-11-15,,"5,000","5,100","4,990"
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,"4,990","4,990","5,130"
2019-11-19,,"5,130","5,250","5,440"
2019-11-20,,"5,440","5,640","5,570"
2019-11-21,,"5,570","5,450","5,500"
2019-11-22,,"5,500","5,550","5,540"
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,"5,540","5,400","5,380"
2019-11-26,,"5,380","5,370","5,350"
2019-11-27,,"5,350","5,250","5,350"
2019-11-28,,"5,350","5,350","5,380"
2019-11-29,,"5,380","5,380","5,300"
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,"5,300","5,380","5,300"
2019-12-03,,"5,300","5,290","5,250"
2019-12-04,,"5,250","5,200","5,200"
2019-12-05,,"5,200","5,200","5,050"
2019-12-06,,"5,050","5,050","5,170"
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,"5,170","5,270","5,170"
2019-12-10,,"5,170","5,260","5,260"
2019-12-11,,"5,260","5,260","5,230"
2019-12-12,,"5,230","5,080","5,080"
2019-12-13,,"5,080","5,220","5,090"
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,"5,090","5,190","5,240"
2019-12-17,,"5,240","5,090","5,080"
2019-12-18,,"5,080","5,080","5,080"
2019-12-19,,"5,080","4,950","5,080"
2019-12-20,,"5,080","5,080","5,150"
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,"5,150","5,050","5,100"
2019-12-24,,"5,100","5,050","5,100"
2019-12-25,,"5,100","5,000","5,150"
2019-12-26,,"5,150","5,140","5,140"
2019-12-27,,"5,140","5,100","5,120"
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,"5,120","5,120","5,100"
2019-12-31,,"5,100","5,100","5,150"
2020-01-01,,,,
2020-01-02,,"5,150","5,000","5,150"
2020-01-03,,"5,150","5,000","5,150"
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"5,150","5,000","5,100"
2020-01-07,,"5,100","5,000","5,000"
2020-01-08,,"5,000",,
2020-01-09,,"5,000","4,970","4,980"
2020-01-10,,"4,980","4,980","4,900"
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"4,900","4,980","4,840"
2020-01-14,,,,
2020-01-15,,"4,840","4,980","5,130"
2020-01-16,,"5,130","5,130","5,350"
2020-01-17,,"5,350","5,350","5,180"
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"5,180","5,250","5,240"
2020-01-21,,"5,240","5,130","5,200"
2020-01-22,,"5,200","5,150","5,160"
2020-01-23,,"5,160","5,180","5,280"
2020-01-24,,"5,280","5,290","5,210"
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"5,210","5,400","5,520"
2020-01-28,,"5,520","5,650","5,360"
2020-01-29,,"5,360","5,500","5,430"
2020-01-30,,"5,430","5,270","5,360"
2020-01-31,,"5,360","5,270","5,120"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"5,120","5,270","5,200"
2020-02-04,,"5,200","5,220","5,250"
2020-02-05,,"5,250","5,230","5,450"
2020-02-06,,"5,450","5,440","5,440"
2020-02-07,,"5,440","5,490","5,770"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"5,770","6,020","5,770"
2020-02-11,,"5,770","5,850","5,750"
2020-02-12,,"5,750","5,500","5,690"
2020-02-13,,"5,690","5,680","5,640"
2020-02-14,,"5,640","5,490","5,600"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"5,570","5,570","5,480"
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
